Competition

"Department Name","Department ID","Total Actions","Total Dollars","Competed Actions","% Competed Actions","Competed Dollars","% Competed Dollars","Not Competed Actions","% Not Competed Actions","Not Competed Dollars","% Not Competed Dollars","Extent Competed Null Actions","% Extent Competed Null Actions","Extent Competed Null Dollars","% Extent Competed Null Dollars"
"FEDERAL MEDIATION AND CONCILIATION SERVICE","9300","1,072","$37,485,782.29","659","61.4739%","$23,762,957.68","63.3919%","413","38.5261%","$13,722,824.61","36.6081%","0","0.0000%","$0.00","0.0000%"
"DEFENSE NUCLEAR FACILITIES SAFETY BOARD","9516","733","$40,069,414.65","298","40.6548%","$17,925,624.92","44.7364%","433","59.0723%","$22,126,163.03","55.2196%","2","0.2729%","$17,626.70","0.0440%"
"J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","982","$103,435,422.94","689","70.1629%","$78,858,064.66","76.2389%","283","28.8187%","$24,533,598.54","23.7188%","10","1.0183%","$43,759.74","0.0423%"
"NATIONAL TRANSPORTATION SAFETY BOARD","9508","3,119","$127,225,404.41","2,016","64.6361%","$97,884,366.37","76.9378%","1,080","34.6265%","$29,583,069.82","23.2525%","22","0.7054%","($241,720.78)","(0.1900%)"
"INTERNATIONAL TRADE COMMISSION","3400","2,610","$129,197,493.02","1,298","49.7318%","$83,851,622.90","64.9019%","1,293","49.5402%","$44,999,116.56","34.8297%","9","0.3448%","$91,369.12","0.0707%"
"FEDERAL ELECTION COMMISSION","9506","2,043","$131,705,806.94","1,280","62.6530%","$87,262,341.75","66.2555%","624","30.5433%","$37,527,939.98","28.4938%","139","6.8037%","$6,915,525.21","5.2507%"
"UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","2,440","$195,094,685.71","1,985","81.3525%","$154,227,082.18","79.0524%","455","18.6475%","$40,867,603.53","20.9476%","0","0.0000%","$0.00","0.0000%"
"OVERSEAS PRIVATE INVESTMENT CORPORATION","7100","2,623","$232,401,947.14","1,684","64.2013%","$127,707,529.71","54.9511%","591","22.5315%","$44,632,336.36","19.2048%","0","0.0000%","$0.00","0.0000%"
"NATIONAL LABOR RELATIONS BOARD","6300","3,968","$236,682,974.16","3,043","76.6885%","$152,572,194.60","64.4627%","906","22.8327%","$81,297,797.82","34.3488%","15","0.3780%","$99,053.21","0.0419%"
"CONSUMER PRODUCT SAFETY COMMISSION","6100","9,452","$324,639,966.48","2,789","29.5070%","$152,121,600.71","46.8586%","6,663","70.4930%","$172,518,365.77","53.1414%","0","0.0000%","$0.00","0.0000%"
"EXPORT-IMPORT BANK OF THE U.S.","8300","2,450","$328,423,125.21","1,341","54.7347%","$191,228,794.58","58.2263%","1,107","45.1837%","$137,135,680.63","41.7558%","0","0.0000%","$0.00","0.0000%"
"RAILROAD RETIREMENT BOARD","6000","5,476","$361,742,468.92","3,882","70.8912%","$314,433,263.39","86.9219%","1,581","28.8714%","$45,646,673.17","12.6186%","0","0.0000%","$0.00","0.0000%"
"COURT SERVICES AND OFFENDER SUPERVISION AGENCY","9594","5,730","$441,000,128.38","3,990","69.6335%","$332,866,776.46","75.4800%","1,725","30.1047%","$106,080,540.04","24.0545%","15","0.2618%","$2,052,811.88","0.4655%"
"NATIONAL GALLERY OF ART","3355","5,667","$449,997,608.06","3,542","62.5022%","$375,788,998.12","83.5091%","2,125","37.4978%","$74,208,609.94","16.4909%","0","0.0000%","$0.00","0.0000%"
"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","4500","15,902","$576,853,661.37","6,678","41.9947%","$190,625,139.48","33.0457%","9,163","57.6217%","$385,532,031.46","66.8336%","53","0.3333%","$372,512.09","0.0646%"
"INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO","19BM","8,062","$596,596,095.56","5,085","63.0737%","$484,003,287.88","81.1275%","2,973","36.8767%","$112,353,557.68","18.8324%","1","0.0124%","($42,750.00)","(0.0072%)"
"CONSUMER FINANCIAL PROTECTION BUREAU","955F","5,458","$642,115,842.38","4,155","76.1268%","$540,613,270.52","84.1925%","1,293","23.6900%","$99,939,512.49","15.5641%","0","0.0000%","$0.00","0.0000%"
"COMMODITY FUTURES TRADING COMMISSION","9507","6,557","$660,273,410.84","3,933","59.9817%","$523,165,426.25","79.2347%","2,559","39.0270%","$135,508,298.53","20.5231%","62","0.9456%","$1,576,859.62","0.2388%"
"GOVERNMENT ACCOUNTABILITY OFFICE","0500","5,975","$693,176,344.03","4,448","74.4435%","$578,621,056.80","83.4739%","1,521","25.4561%","$114,476,297.19","16.5147%","0","0.0000%","$0.00","0.0000%"
"EXECUTIVE OFFICE OF THE PRESIDENT","1100","8,984","$706,940,374.93","5,086","56.6118%","$431,207,271.70","60.9963%","3,746","41.6963%","$265,924,080.46","37.6162%","150","1.6696%","$9,762,764.33","1.3810%"
"CORPORATION FOR NATIONAL AND COMMUNITY SERVICE","9577","8,007","$756,998,163.68","6,453","80.5920%","$603,268,901.85","79.6923%","1,535","19.1707%","$153,871,996.85","20.3266%","18","0.2248%","($137,865.23)","(0.0182%)"
"FEDERAL TRADE COMMISSION","2900","10,202","$812,492,917.18","3,818","37.4240%","$503,155,839.40","61.9274%","5,894","57.7730%","$292,161,957.94","35.9587%","466","4.5677%","$12,513,092.33","1.5401%"
"MILLENNIUM CHALLENGE CORPORATION","9543","8,260","$987,183,514.50","7,092","85.8596%","$942,164,466.18","95.4396%","917","11.1017%","$49,280,738.69","4.9921%","230","2.7845%","($5,413,355.84)","(0.5484%)"
"PEACE CORPS","1145","74,092","$1,309,353,878.31","71,530","96.5421%","$1,187,775,396.92","90.7146%","2,434","3.2851%","$118,065,250.28","9.0171%","128","0.1728%","$3,513,231.11","0.2683%"
"FEDERAL COMMUNICATIONS COMMISSION","2700","7,804","$1,336,527,343.40","5,530","70.8611%","$1,074,491,937.12","80.3943%","2,256","28.9083%","$261,703,899.30","19.5809%","18","0.2307%","$331,506.98","0.0248%"
"UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG","9568","85,234","$1,726,846,351.11","72,178","84.6822%","$1,173,075,339.67","67.9317%","13,036","15.2944%","$553,322,133.41","32.0423%","20","0.0235%","$448,878.03","0.0260%"
"NATIONAL ARCHIVES AND RECORDS ADMINISTRATION","8800","15,119","$1,923,249,726.13","10,404","68.8141%","$1,445,119,947.47","75.1395%","4,539","30.0218%","$467,311,834.90","24.2980%","147","0.9723%","$4,022,372.98","0.2091%"
"NUCLEAR REGULATORY COMMISSION","3100","24,747","$2,197,924,055.55","13,867","56.0351%","$1,504,780,629.40","68.4637%","9,690","39.1563%","$623,697,780.48","28.3767%","1,162","4.6955%","$68,838,605.32","3.1320%"
"SMALL BUSINESS ADMINISTRATION","7300","13,233","$2,867,108,498.58","8,622","65.1553%","$1,975,179,257.57","68.8910%","4,559","34.4517%","$869,425,260.83","30.3241%","41","0.3098%","$21,997,333.90","0.7672%"
"PENSION BENEFIT GUARANTY CORPORATION","1665","14,079","$3,380,373,874.61","10,358","73.5706%","$2,998,433,086.93","88.7012%","3,503","24.8810%","$370,692,479.08","10.9660%","203","1.4419%","$5,429,088.60","0.1606%"
"SMITHSONIAN INSTITUTION","3300","39,104","$3,774,941,561.89","13,197","33.7485%","$2,639,939,428.12","69.9333%","25,636","65.5585%","$1,103,249,195.20","29.2256%","271","0.6930%","$31,752,938.57","0.8412%"
"SECURITIES AND EXCHANGE COMMISSION","5000","25,702","$4,082,054,108.54","14,380","55.9490%","$3,104,308,363.00","76.0477%","10,971","42.6854%","$940,013,776.09","23.0280%","298","1.1594%","$30,582,451.34","0.7492%"
"NATIONAL SCIENCE FOUNDATION","4900","10,899","$4,997,933,775.82","6,865","62.9874%","$4,522,357,251.61","90.4845%","3,890","35.6913%","$465,209,666.51","9.3080%","143","1.3120%","$10,359,957.70","0.2073%"
"OFFICE OF PERSONNEL MANAGEMENT","2400","46,539","$12,054,775,554.05","32,140","69.0604%","$9,700,025,561.99","80.4662%","14,115","30.3294%","$2,264,013,026.41","18.7810%","263","0.5651%","$84,650,936.45","0.7022%"
"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","8600","31,667","$13,916,228,072.73","15,885","50.1626%","$9,413,697,164.13","67.6455%","14,977","47.2953%","$4,519,576,784.42","32.4770%","432","1.3642%","($11,794,867.82)","(0.0848%)"
"ENVIRONMENTAL PROTECTION AGENCY","6800","195,846","$15,313,103,493.32","139,621","71.2912%","$12,498,573,629.60","81.6201%","43,178","22.0469%","$2,024,013,334.66","13.2175%","12,566","6.4163%","$682,903,370.28","4.4596%"
"SOCIAL SECURITY ADMINISTRATION","2800","154,122","$17,168,945,603.95","85,311","55.3529%","$11,299,780,548.89","65.8152%","68,292","44.3104%","$5,827,009,882.96","33.9392%","513","0.3329%","$41,474,417.74","0.2416%"
"LABOR, DEPARTMENT OF","1600","86,111","$22,146,375,401.93","50,265","58.3723%","$15,861,051,260.82","71.6192%","31,428","36.4971%","$5,196,600,869.84","23.4648%","107","0.1243%","$2,278,701.64","0.0103%"
"EDUCATION, DEPARTMENT OF","9100","34,801","$28,023,948,486.25","25,506","73.2910%","$24,358,258,601.00","86.9194%","9,083","26.0998%","$3,657,540,309.35","13.0515%","173","0.4971%","$1,500,905.79","0.0054%"
"COMMERCE, DEPARTMENT OF","1300","286,077","$38,200,341,225.03","194,893","68.1261%","$29,019,827,363.40","75.9675%","88,253","30.8494%","$8,897,930,513.63","23.2928%","2,745","0.9595%","$264,521,099.58","0.6925%"
"INTERIOR, DEPARTMENT OF THE","1400","758,151","$47,419,685,689.66","542,026","71.4931%","$37,212,032,849.52","78.4738%","207,321","27.3456%","$10,091,022,314.63","21.2802%","8,368","1.1037%","$75,527,218.01","0.1593%"
"AGENCY FOR INTERNATIONAL DEVELOPMENT","7200","108,426","$54,893,257,601.14","84,411","77.8513%","$43,152,208,173.99","78.6111%","23,406","21.5871%","$7,963,535,311.95","14.5073%","99","0.0913%","$36,410,810.78","0.0663%"
"AGRICULTURE, DEPARTMENT OF","1200","820,075","$69,168,977,566.78","611,408","74.5551%","$58,662,306,534.27","84.8101%","204,936","24.9899%","$10,389,893,931.90","15.0210%","3,667","0.4472%","$112,870,370.15","0.1632%"
"TRANSPORTATION, DEPARTMENT OF","6900","296,215","$74,203,472,068.48","210,142","70.9424%","$61,427,661,795.13","82.7827%","82,931","27.9969%","$12,699,767,601.88","17.1148%","2,862","0.9662%","$61,045,235.40","0.0823%"
"JUSTICE, DEPARTMENT OF","1500","1,527,271","$84,531,677,377.70","1,069,827","70.0483%","$61,024,502,099.74","72.1913%","450,549","29.5003%","$23,012,729,921.31","27.2238%","6,757","0.4424%","$457,622,222.57","0.5414%"
"TREASURY, DEPARTMENT OF THE","2000","281,854","$85,132,718,483.80","161,375","57.2548%","$75,409,494,025.66","88.5787%","118,769","42.1385%","$9,570,659,700.47","11.2420%","950","0.3371%","$21,654,307.26","0.0254%"
"STATE, DEPARTMENT OF","1900","885,561","$97,828,227,959.61","647,926","73.1656%","$74,712,680,780.73","76.3713%","230,613","26.0415%","$21,951,508,851.54","22.4388%","6,710","0.7577%","$1,036,720,483.78","1.0597%"
"GENERAL SERVICES ADMINISTRATION","4700","6,366,001","$139,978,004,882.73","4,884,714","76.7313%","$113,449,330,585.59","81.0480%","1,448,238","22.7496%","$24,974,635,479.49","17.8418%","31,656","0.4973%","$1,079,930,602.40","0.7715%"
"HOMELAND SECURITY, DEPARTMENT OF","7000","950,199","$163,211,670,290.16","651,181","68.5310%","$117,675,767,190.27","72.1001%","288,484","30.3604%","$44,762,543,193.17","27.4261%","8,740","0.9198%","$183,820,005.40","0.1126%"
"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","8000","345,459","$181,690,617,557.49","237,954","68.8805%","$118,513,291,648.99","65.2281%","107,388","31.0856%","$63,172,310,894.12","34.7692%","18","0.0052%","$31,039.46","0.0000%"
"VETERANS AFFAIRS, DEPARTMENT OF","3600","37,210,572","$253,056,322,847.48","34,404,396","92.4587%","$201,270,701,750.00","79.5359%","2,801,625","7.5291%","$51,585,136,194.07","20.3848%","4,153","0.0112%","$93,927,354.72","0.0371%"
"HEALTH AND HUMAN SERVICES, DEPARTMENT OF","7500","942,215","$265,037,446,738.94","592,655","62.9002%","$213,834,532,686.36","80.6809%","343,511","36.4578%","$50,093,934,288.42","18.9007%","3,825","0.4060%","$214,724,292.38","0.0810%"
"ENERGY, DEPARTMENT OF","8900","144,230","$301,009,673,764.50","91,698","63.5776%","$280,011,918,557.41","93.0242%","49,241","34.1406%","$20,723,299,612.90","6.8846%","2,375","1.6467%","$229,899,976.53","0.0764%"
"DEPT OF DEFENSE","9700","265,338,491","$3,762,383,531,146.56","255,690,844","96.3640%","$2,075,072,460,161.28","55.1531%","9,641,551","3.6337%","$1,687,235,520,117.86","44.8449%","5,847","0.0022%","$32,957,419.17","0.0009%"
"Total","","317,258,357","$5,763,880,343,417.74","300,734,151","94.7916%","$3,672,421,072,706.42","63.7144%","16,402,121","5.1700%","$2,078,984,137,794.06","36.0692%","106,492","0.0336%","$4,908,284,856.09","0.0852%"
