PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3131,Training and Development Managers,detailed,"1,010",5.8,0.180,0.79,58.52,"121,720",2.8,30.79,38.84,53.74,70.97,#,"64,040","80,790","111,780","147,620",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,50,46.9,0.009,0.29,41.02,"85,320",5.9,28.73,32.14,35.61,41.05,72.00,"59,760","66,860","74,070","85,390","149,760",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9021,Construction Managers,detailed,"9,950",6.0,1.769,1.02,49.24,"102,410",2.4,26.22,33.86,45.14,60.95,78.43,"54,540","70,420","93,880","126,770","163,130",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"2,080",7.4,0.369,1.09,30.21,"62,840",5.5,16.04,19.46,26.02,37.22,53.67,"33,370","40,480","54,130","77,430","111,630",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"5,730",3.6,1.019,0.60,*,"110,420",1.3,*,*,*,*,*,"79,740","97,340","112,240","125,190","144,470",TRUE,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9033,"Education Administrators, Postsecondary",detailed,"4,990",4.2,0.887,0.90,55.19,"114,800",3.3,28.63,37.03,48.78,67.23,89.81,"59,560","77,030","101,460","139,830","186,810",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9039,"Education Administrators, All Other",detailed,"1,490",13.4,0.264,1.14,55.34,"115,100",18.5,22.15,30.66,48.35,67.02,#,"46,070","63,780","100,560","139,400",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9041,Architectural and Engineering Managers,detailed,"9,900",4.8,1.759,1.35,75.80,"157,670",2.3,43.88,55.74,71.11,#,#,"91,270","115,930","147,900",#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9051,Food Service Managers,detailed,"13,460",4.6,2.393,1.64,24.20,"50,330",2.5,12.17,16.77,21.60,29.27,37.64,"25,320","34,890","44,930","60,880","78,280",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9061,Funeral Service Managers,detailed,140,21.0,0.026,0.43,30.35,"63,130",5.4,21.16,25.26,28.21,33.58,44.94,"44,010","52,530","58,680","69,840","93,460",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9081,Lodging Managers,detailed,"1,180",7.1,0.209,0.81,29.20,"60,730",3.9,15.22,20.36,26.28,33.38,41.68,"31,660","42,350","54,670","69,430","86,700",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9111,Medical and Health Services Managers,detailed,"10,710",5.8,1.903,0.83,55.25,"114,920",2.1,23.94,35.08,52.64,68.59,88.02,"49,800","72,970","109,500","142,660","183,080",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9121,Natural Sciences Managers,detailed,"1,580",12.4,0.281,0.73,71.46,"148,640",7.3,29.54,49.17,66.75,#,#,"61,440","102,270","138,840",#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9131,Postmasters and Mail Superintendents,detailed,120,0.0,0.021,0.20,42.02,"87,410",2.4,33.37,37.84,41.95,45.13,52.87,"69,410","78,700","87,250","93,880","109,970",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"11,320",6.0,2.011,1.59,35.17,"73,150",2.7,17.56,21.74,29.67,42.16,59.67,"36,520","45,220","61,700","87,680","124,110",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9151,Social and Community Service Managers,detailed,"4,970",6.4,0.883,1.02,37.06,"77,090",3.1,20.39,26.41,33.47,44.61,60.54,"42,410","54,940","69,620","92,780","125,920",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9161,Emergency Management Directors,detailed,190,15.9,0.034,0.48,55.67,"115,790",2.6,36.00,42.75,53.76,66.75,78.92,"74,890","88,920","111,810","138,840","164,160",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9199,"Managers, All Other",detailed,"13,380",3.0,2.378,0.87,62.65,"130,320",1.2,32.60,44.86,58.39,75.28,#,"67,800","93,300","121,460","156,580",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-0000,Business and Financial Operations Occupations,major,"328,930",1.2,58.453,1.15,38.38,"79,840",0.6,18.65,25.32,34.54,46.44,60.67,"38,790","52,670","71,840","96,590","126,200",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"4,480",8.4,0.797,8.31,56.17,"116,840",11.4,11.73,17.68,35.95,#,#,"24,400","36,780","74,780",#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,370,24.9,0.065,0.74,30.72,"63,900",5.3,17.06,22.02,29.28,37.31,48.75,"35,490","45,790","60,910","77,600","101,400",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"7,200",8.0,1.279,1.59,29.74,"61,860",4.3,13.32,18.11,26.05,36.07,49.21,"27,710","37,670","54,180","75,020","102,350",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"12,940",2.9,2.300,1.09,33.41,"69,490",1.7,18.47,23.90,31.58,41.35,51.21,"38,420","49,710","65,690","86,000","106,530",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"10,330",6.5,1.836,0.93,34.34,"71,430",1.6,20.51,26.06,33.80,40.77,48.79,"42,660","54,210","70,300","84,800","101,490",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1032,"Insurance Appraisers, Auto Damage",detailed,800,26.3,0.143,1.29,32.47,"67,550",4.1,20.36,23.98,30.60,38.83,49.93,"42,340","49,870","63,650","80,770","103,850",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1041,Compliance Officers,detailed,"12,060",3.8,2.144,1.15,36.50,"75,920",2.2,21.45,27.54,36.33,43.12,51.68,"44,620","57,290","75,570","89,680","107,500",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1051,Cost Estimators,detailed,"8,020",5.2,1.424,0.91,32.36,"67,320",1.8,16.23,21.23,29.59,41.66,52.16,"33,760","44,150","61,540","86,660","108,490",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1071,Human Resources Specialists,detailed,"19,950",3.1,3.545,1.00,35.09,"72,990",2.2,18.12,23.18,30.99,42.12,55.65,"37,690","48,220","64,460","87,610","115,750",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1075,Labor Relations Specialists,detailed,"3,880",10.9,0.689,1.20,39.88,"82,960",4.0,18.80,27.31,42.02,50.48,60.11,"39,100","56,810","87,390","105,000","125,040",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1081,Logisticians,detailed,"5,330",7.1,0.947,0.98,40.54,"84,320",1.5,24.78,30.73,40.30,49.59,58.71,"51,540","63,930","83,830","103,150","122,120",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1111,Management Analysts,detailed,"29,920",5.2,5.317,1.19,47.63,"99,080",2.3,24.69,32.04,42.60,56.19,76.89,"51,360","66,640","88,600","116,880","159,920",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,"4,000",5.4,0.711,1.12,27.37,"56,920",2.6,15.27,20.05,25.73,34.35,42.58,"31,760","41,700","53,520","71,440","88,560",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1131,Fundraisers,detailed,"2,010",10.2,0.358,0.79,33.08,"68,800",2.8,17.96,23.61,32.07,39.00,49.68,"37,360","49,100","66,700","81,130","103,320",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"3,000",6.4,0.533,0.92,35.24,"73,300",3.1,21.32,26.69,33.41,41.90,53.36,"44,340","55,510","69,500","87,160","110,990",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1151,Training and Development Specialists,detailed,"8,100",6.6,1.439,0.78,31.73,"66,010",2.1,16.10,21.64,29.68,40.09,49.06,"33,480","45,020","61,730","83,380","102,040",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"30,200",3.2,5.367,1.46,34.88,"72,540",1.4,16.09,21.74,31.09,43.62,59.98,"33,460","45,220","64,670","90,730","124,750",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1199,"Business Operations Specialists, All Other",detailed,"46,160",2.7,8.203,1.22,36.83,"76,610",1.2,17.68,25.04,34.53,46.53,59.14,"36,770","52,080","71,820","96,780","123,010",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2011,Accountants and Auditors,detailed,"58,850",2.9,10.458,1.18,37.75,"78,520",1.1,20.82,26.59,34.25,44.95,58.85,"43,310","55,310","71,240","93,500","122,400",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2021,Appraisers and Assessors of Real Estate,detailed,"1,850",16.8,0.328,0.75,38.15,"79,350",2.6,22.71,29.25,39.15,45.30,52.62,"47,240","60,830","81,440","94,230","109,440",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2031,Budget Analysts,detailed,"3,050",7.8,0.541,1.33,42.60,"88,600",2.1,27.12,33.40,41.97,51.06,60.12,"56,410","69,460","87,290","106,210","125,050",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2041,Credit Analysts,detailed,"3,030",7.5,0.539,1.05,40.61,"84,470",3.6,19.81,26.51,34.82,47.11,68.21,"41,210","55,150","72,420","98,000","141,870",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2051,Financial Analysts,detailed,"11,110",5.4,1.975,1.01,45.43,"94,500",1.6,26.91,32.79,41.65,53.68,67.60,"55,970","68,200","86,640","111,650","140,600",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2052,Personal Financial Advisors,detailed,"9,880",6.9,1.756,1.23,58.95,"122,610",4.2,18.39,28.90,44.85,78.40,#,"38,250","60,110","93,290","163,080",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2053,Insurance Underwriters,detailed,"2,750",14.8,0.489,0.75,34.82,"72,420",4.2,19.11,24.38,31.10,43.84,55.77,"39,760","50,720","64,680","91,190","116,010",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2061,Financial Examiners,detailed,"1,810",6.3,0.322,1.01,43.61,"90,700",4.0,25.37,31.75,40.56,52.22,67.76,"52,770","66,040","84,370","108,610","140,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2071,Credit Counselors,detailed,"1,660",12.2,0.295,1.33,26.19,"54,480",3.9,16.22,19.11,23.44,28.81,41.98,"33,740","39,750","48,760","59,930","87,310",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2072,Loan Officers,detailed,"15,840",8.8,2.816,1.28,41.69,"86,720",2.8,19.49,25.36,37.14,52.50,70.91,"40,540","52,750","77,250","109,190","147,480",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"1,680",0.1,0.299,0.69,37.83,"78,690",1.7,22.89,28.18,35.55,48.87,55.13,"47,600","58,620","73,940","101,640","114,670",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2082,Tax Preparers,detailed,"3,860",19.4,0.685,1.31,26.24,"54,580",7.2,9.97,15.21,22.39,35.03,49.29,"20,740","31,640","46,570","72,860","102,530",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2099,"Financial Specialists, All Other",detailed,"4,810",6.3,0.854,0.93,35.61,"74,080",2.7,19.85,25.00,31.41,42.98,56.84,"41,290","52,010","65,330","89,410","118,220",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-0000,Computer and Mathematical Occupations,major,"147,390",1.9,26.192,0.90,43.82,"91,150",0.8,20.94,29.77,42.36,56.19,69.99,"43,550","61,920","88,100","116,880","145,570",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1111,Computer and Information Research Scientists,detailed,630,25.3,0.112,0.61,55.12,"114,660",6.3,27.48,41.05,53.92,68.60,82.58,"57,160","85,380","112,150","142,700","171,770",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1121,Computer Systems Analysts,detailed,"17,560",4.5,3.121,0.77,45.65,"94,950",1.6,23.64,34.55,45.04,56.40,68.37,"49,170","71,870","93,680","117,310","142,210",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1122,Information Security Analysts,detailed,"2,750",8.8,0.489,0.76,49.01,"101,950",1.4,29.16,39.69,48.39,58.20,71.80,"60,650","82,550","100,650","121,050","149,350",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1131,Computer Programmers,detailed,"11,780",6.4,2.093,1.00,43.54,"90,560",2.0,19.57,32.45,43.60,55.04,66.20,"40,700","67,500","90,690","114,490","137,700",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1132,"Software Developers, Applications",detailed,"25,130",4.8,4.465,0.82,52.75,"109,720",1.2,32.17,41.23,51.93,62.43,74.77,"66,920","85,760","108,020","129,860","155,520",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1133,"Software Developers, Systems Software",detailed,"17,900",7.1,3.180,1.12,56.47,"117,460",2.2,32.28,42.43,55.81,70.23,82.78,"67,150","88,250","116,080","146,070","172,170",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1134,Web Developers,detailed,"7,870",7.2,1.398,1.52,34.95,"72,700",1.8,17.41,23.09,32.23,44.76,56.83,"36,210","48,030","67,030","93,100","118,210",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1141,Database Administrators,detailed,"4,130",4.1,0.734,0.89,44.70,"92,980",1.5,23.27,31.38,45.14,56.77,67.42,"48,410","65,280","93,900","118,090","140,240",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1142,Network and Computer Systems Administrators,detailed,"15,030",3.7,2.671,0.98,41.32,"85,950",1.2,22.50,30.13,40.32,51.81,62.05,"46,800","62,670","83,870","107,760","129,060",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1143,Computer Network Architects,detailed,"4,070",10.6,0.723,0.68,56.67,"117,880",2.3,30.77,42.84,57.07,70.51,81.42,"63,990","89,110","118,710","146,660","169,340",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1151,Computer User Support Specialists,detailed,"22,220",4.4,3.948,0.93,27.86,"57,940",1.2,15.82,20.42,26.75,34.38,42.59,"32,910","42,460","55,640","71,510","88,590",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1152,Computer Network Support Specialists,detailed,"6,370",6.8,1.132,0.85,35.01,"72,820",1.9,18.93,25.83,33.68,43.21,54.40,"39,370","53,730","70,060","89,890","113,150",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1199,"Computer Occupations, All Other",detailed,"6,260",4.8,1.112,0.69,38.89,"80,890",1.7,17.74,25.61,36.67,49.70,62.51,"36,900","53,260","76,270","103,380","130,020",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2011,Actuaries,detailed,800,21.9,0.141,0.99,52.84,"109,910",2.6,30.35,38.60,50.09,65.95,77.22,"63,130","80,290","104,190","137,170","160,620",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2021,Mathematicians,detailed,130,12.6,0.024,1.03,46.77,"97,270",8.7,25.74,30.12,51.66,58.51,63.10,"53,550","62,650","107,450","121,700","131,250",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2031,Operations Research Analysts,detailed,"3,720",8.1,0.662,0.95,40.70,"84,660",1.7,22.97,29.84,40.27,49.43,60.07,"47,790","62,070","83,750","102,800","124,950",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2041,Statisticians,detailed,880,9.8,0.156,0.72,40.83,"84,940",3.1,22.63,29.27,38.97,49.41,61.29,"47,070","60,890","81,050","102,760","127,480",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-0000,Architecture and Engineering Occupations,major,"105,250",2.8,18.703,1.04,45.57,"94,780",1.3,23.71,31.68,43.05,57.70,73.04,"49,310","65,900","89,530","120,020","151,920",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1011,"Architects, Except Landscape and Naval",detailed,"5,130",9.3,0.912,1.34,47.31,"98,400",3.9,29.33,34.69,42.85,54.67,71.43,"61,010","72,160","89,140","113,710","148,580",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1012,Landscape Architects,detailed,"1,350",25.5,0.241,1.67,36.06,"75,010",4.8,24.27,27.61,33.66,44.32,54.69,"50,480","57,430","70,020","92,190","113,760",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1021,Cartographers and Photogrammetrists,detailed,550,17.1,0.098,1.13,33.46,"69,600",6.1,16.70,25.09,33.40,41.26,51.97,"34,740","52,180","69,460","85,820","108,100",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1022,Surveyors,detailed,"1,010",13.4,0.180,0.58,41.07,"85,420",2.5,29.03,34.49,41.73,46.87,54.33,"60,380","71,750","86,800","97,490","113,010",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2011,Aerospace Engineers,detailed,"6,130",11.9,1.090,2.24,60.01,"124,820",2.4,37.17,46.42,60.18,73.62,86.22,"77,310","96,550","125,160","153,120","179,340",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2021,Agricultural Engineers,detailed,**,**,**,**,43.17,"89,790",7.1,31.06,35.38,43.12,51.97,58.75,"64,610","73,600","89,680","108,110","122,200",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2031,Biomedical Engineers,detailed,"1,360",18.2,0.242,1.60,52.47,"109,140",7.3,27.59,35.75,45.56,58.76,#,"57,390","74,370","94,770","122,230",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2041,Chemical Engineers,detailed,670,18.3,0.118,0.51,50.71,"105,480",3.4,28.50,36.66,46.09,63.85,83.76,"59,280","76,250","95,870","132,810","174,220",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2051,Civil Engineers,detailed,"11,480",5.4,2.039,1.02,48.87,"101,640",1.9,28.97,36.98,49.60,59.12,70.07,"60,260","76,920","103,160","122,960","145,740",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2061,Computer Hardware Engineers,detailed,"4,400",26.2,0.783,1.42,56.87,"118,300",3.9,32.34,43.13,55.99,70.89,85.13,"67,270","89,710","116,470","147,450","177,070",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2071,Electrical Engineers,detailed,"6,780",6.6,1.205,0.93,51.87,"107,890",2.6,31.54,37.53,50.65,65.02,77.24,"65,600","78,060","105,360","135,230","160,660",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2072,"Electronics Engineers, Except Computer",detailed,"9,160",8.8,1.628,1.66,55.28,"114,990",2.0,32.34,40.19,53.34,69.79,83.34,"67,270","83,600","110,950","145,160","173,350",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2081,Environmental Engineers,detailed,"1,930",11.3,0.343,0.90,53.15,"110,560",2.9,35.17,43.93,51.84,61.09,72.99,"73,150","91,370","107,830","127,060","151,820",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,990,10.9,0.175,0.97,48.97,"101,860",2.3,32.54,39.94,50.35,57.19,65.36,"67,680","83,080","104,730","118,950","135,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2112,Industrial Engineers,detailed,"9,700",4.9,1.724,0.96,48.57,"101,030",2.0,29.35,36.64,46.59,59.00,73.50,"61,060","76,200","96,910","122,720","152,880",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2131,Materials Engineers,detailed,"1,060",10.3,0.188,0.96,50.71,"105,480",4.1,28.07,36.91,49.31,63.23,75.26,"58,380","76,770","102,560","131,520","156,530",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2141,Mechanical Engineers,detailed,"8,880",7.7,1.578,0.78,47.37,"98,530",1.7,27.82,34.53,45.43,59.12,72.15,"57,860","71,820","94,490","122,970","150,070",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2171,Petroleum Engineers,detailed,**,**,**,**,69.37,"144,280",8.8,40.35,49.81,59.38,78.63,#,"83,930","103,610","123,500","163,540",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2199,"Engineers, All Other",detailed,"5,140",6.5,0.913,1.00,51.07,"106,220",2.2,27.94,37.79,50.36,63.00,76.12,"58,120","78,610","104,740","131,050","158,330",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3011,Architectural and Civil Drafters,detailed,"5,490",9.3,0.975,1.41,27.94,"58,120",2.4,16.55,20.70,27.30,34.37,41.29,"34,430","43,060","56,790","71,490","85,880",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3012,Electrical and Electronics Drafters,detailed,**,**,**,**,29.14,"60,610",2.6,18.77,22.37,28.64,35.40,40.62,"39,040","46,520","59,570","73,630","84,490",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3013,Mechanical Drafters,detailed,"1,470",7.1,0.262,0.55,27.67,"57,560",1.9,16.90,20.92,26.07,33.47,41.48,"35,150","43,510","54,230","69,620","86,280",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3019,"Drafters, All Other",detailed,500,13.1,0.088,0.78,28.32,"58,910",4.8,16.84,20.22,25.87,35.61,45.06,"35,030","42,050","53,810","74,070","93,710",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3021,Aerospace Engineering and Operations Technicians,detailed,"1,050",19.5,0.187,2.00,35.74,"74,350",2.6,24.92,30.24,35.05,40.81,49.40,"51,830","62,890","72,910","84,880","102,760",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3022,Civil Engineering Technicians,detailed,"2,890",10.0,0.513,0.99,34.72,"72,230",4.2,19.11,27.25,34.34,43.33,48.88,"39,750","56,690","71,420","90,130","101,670",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3023,Electrical and Electronics Engineering Technicians,detailed,"5,950",5.7,1.057,1.05,30.03,"62,460",1.5,18.05,23.06,29.43,36.08,44.40,"37,550","47,970","61,210","75,040","92,350",,
